Player,Position,Team
Sincere Brown,WR,LAC
Brandon Johnson,WR,Pit
Kisean Johnson,WR,GB
Jeshaun Jones,WR,Min
Joseph Manjack,WR,Den
Aaron Anderson,WR,Cle
Kyrese Rowan,WR,Den
Marcus Burke,WR,Ten
Tyrone Broden,WR,Sea
Octavian Smith Jr.,WR,Bal
Eli Pancol,WR,Ind
Luke Floriea,WR,Cle
Omari Kelly,WR,Chi
Coleman Owen,WR,Ind
Levi Wentz,WR,Pit
Jamaal Pritchett,WR,NYJ
Barion Brown,WR,NO
Jeff Weimer,WR,KC
Jaden Smith,WR,Dal
Kobe Prentice,WR,NE
AJ Henning,WR,Mia
D.J. Montgomery,WR,Ind
Romello Brinson,WR,Dal
Marcus Sanders Jr.,WR,Min
Sahmir Hagans,WR,Ind
Isaiah Winstead,WR,Pit
Harrison Wallace III,WR,Ari
Phillip Dorsett II,WR,LV
Rashad Rochelle,WR,Sea
Montorie Foster Jr.,WR,Sea
Joshua Cephus,WR,Jax
Jalen Walthall,WR,NYJ
Chris Hilton Jr.,WR,GB
Reggie Virgil,WR,Ari
Bryson Green,WR,Ari
Damien Alford,WR,NO
Kaden Wetjen,WR,Pit
Noah Short,WR,TB
JaQuae Jackson,WR,LAC
